label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
alcoholic,20,1052,0.53556088081978,0.9218631178707223,0.6363636363636364,0.5833333333333334,0.7,0.9850746268656716,0.8452471482889555,0.6315339484531608,0.990494296577946,73.63999999224318,14,10,6,1042
aldehydic,28,1044,0.3734787383875945,0.9464627805145047,0.48,0.5454545454545454,0.42857142857142855,0.9757462686567164,0.7094964422550549,0.47133525211987914,0.9904214559386965,44.74285713818038,12,10,16,1034
alliaceous,25,1047,0.4315321032877576,0.9476981852913086,0.41025641025641024,0.5714285714285714,0.32,0.9785447761194029,0.6571346704870992,0.41777121029533004,0.9942693409742112,55.83999999024515,8,6,17,1041
almond,17,1055,0.2632437386335831,0.8460551993309171,0.3,1.0,0.17647058823529413,0.9869402985074627,0.5882352941176414,0.41732417536210464,0.9999999999999991,inf,3,0,14,1055
amber,20,1052,0.24029557895602016,0.8694866920152091,0.3684210526315789,0.3888888888888889,0.35,0.9776119402985075,0.6697718631178615,0.3575707785920682,0.9895437262357406,33.472727269521705,7,11,13,1041
animal,24,1048,0.40601496420734684,0.8678037531806615,0.4782608695652174,0.5,0.4583333333333333,0.9776119402985075,0.7239185750636032,0.4673049589224007,0.9895038167938923,43.66666666250124,11,11,13,1037
anisic,18,1054,0.3125990066217963,0.9316888045540797,0.4864864864864865,0.47368421052631576,0.5,0.9822761194029851,0.7452561669829079,0.47765629332943205,0.9905123339658436,52.699999994438,9,10,9,1044
apple,61,1011,0.4471690504157076,0.9200596714825444,0.4852941176470588,0.44,0.5409836065573771,0.9347014925373134,0.7497202899255679,0.453571868232836,0.9584569732937676,13.022248243245732,33,42,28,969
apricot,15,1057,0.33473487269674834,0.9631031220435193,0.4375,0.4117647058823529,0.4666666666666667,0.9832089552238806,0.7286029643645378,0.4298770758976824,0.99053926206244,49.32666666144516,7,10,8,1047
aromatic,15,1057,0.2624960110983991,0.7932513402712078,0.4166666666666667,0.5555555555555556,0.3333333333333333,0.9869402985074627,0.6647745190791433,0.4242435855478004,0.9962157048249755,88.08333331003068,5,4,10,1053
balsamic,54,1018,0.32189994177584424,0.8757913119406243,0.4090909090909091,0.34615384615384615,0.5,0.9272388059701493,0.7249508840864389,0.37883315017717956,0.9499017681728871,9.980392156663155,27,51,27,967
banana,25,1047,0.38307446192076894,0.9042215854823306,0.45901639344262296,0.3888888888888889,0.56,0.9692164179104478,0.7694937917860438,0.45153454060786025,0.9789875835721099,26.650909089638567,14,22,11,1025
berry,29,1043,0.16825058175295254,0.8067907561080437,0.18867924528301888,0.20833333333333334,0.1724137931034483,0.9598880597014925,0.5770985552286143,0.16909514030490483,0.9817833173537863,9.464609799842663,5,19,24,1024
bitter,12,1060,0.22742285019134417,0.7876572327044025,0.2857142857142857,1.0,0.16666666666666666,0.9906716417910447,0.5833333333333259,0.406336109972905,0.9999999999999991,inf,2,0,10,1060
burnt,36,1036,0.31423557860721857,0.8696374946374947,0.379746835443038,0.3488372093023256,0.4166666666666667,0.9542910447761194,0.6948198198198137,0.3577275152194123,0.9729729729729721,15.416666666095347,15,28,21,1008
buttery,28,1044,0.294003047645849,0.8193418171866448,0.39344262295081966,0.36363636363636365,0.42857142857142855,0.9654850746268657,0.7042282430213385,0.3771467052460752,0.9798850574712635,21.306122447918728,12,21,16,1023
camphoreous,26,1046,0.21149112963336308,0.8871157523165172,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.9701492537313433,0.6471539932342928,0.3193365093761565,0.9866156787762898,22.989010987290985,8,14,18,1032
caramellic,45,1027,0.5955352839456857,0.9274477983338743,0.6097560975609756,0.6756756756756757,0.5555555555555556,0.9701492537313433,0.7719355187709551,0.5974703720730087,0.9883154819863672,47.54629629222258,25,12,20,1015
cheesy,37,1035,0.5573264981089167,0.9111633372502937,0.547945205479452,0.5555555555555556,0.5405405405405406,0.9692164179104478,0.7625408016712287,0.5320674749889134,0.9845410628019315,34.966216213951526,20,16,17,1019
cherry,16,1056,0.19150099914866775,0.8927556818181819,0.21052631578947367,0.6666666666666666,0.125,0.9860074626865671,0.5620265151515108,0.28474089640219624,0.9990530303030294,131.9999998604722,2,1,14,1055
chocolate,13,1059,0.10774118804569124,0.9110917411200697,0.18867924528301888,0.125,0.38461538461538464,0.9598880597014925,0.6757826687005005,0.2030279647784947,0.966949952785646,11.637362637009334,5,35,8,1024
cinnamon,13,1059,0.5266473663840633,0.9528582843030435,0.56,0.5833333333333334,0.5384615384615384,0.9897388059701493,0.7668700515725799,0.5552722063152508,0.9952785646836629,114.0461538219684,7,5,6,1054
citrus,74,998,0.46820711265465675,0.8822509884634133,0.48868778280542985,0.3673469387755102,0.7297297297297297,0.894589552238806,0.818271678492114,0.4691152885758221,0.9068136272545081,7.830863121101484,54,93,20,905
clean,19,1053,0.18257589474451472,0.735392612585595,0.25,0.3076923076923077,0.21052631578947367,0.9776119402985075,0.6009896536212266,0.2434883620388799,0.9914529914529906,24.631578944482758,4,9,15,1044
cocoa,23,1049,0.2064838086550262,0.8756994238819581,0.3404255319148936,0.3333333333333333,0.34782608695652173,0.9710820895522388,0.6662867327060888,0.3257264272511613,0.9847473784556712,22.804347824589517,8,16,15,1033
coconut,18,1054,0.5531561811748297,0.9183006535947713,0.55,0.5,0.6111111111111112,0.9832089552238806,0.8003373392367525,0.5443646217199275,0.989563567362428,58.55555554993694,11,11,7,1043
coffee,22,1050,0.4472702000623476,0.9565367965367966,0.425531914893617,0.4,0.45454545454545453,0.9748134328358209,0.7201298701298594,0.413591512479977,0.9857142857142849,31.818181815951238,10,15,12,1035
